category,char,currency,id,name,price,unit,url
Негорючие ткани дляинтерьера,"[('Ширина', '300 см'), ('Плотность', '153 г/м2'), ('Цвет', 'Белый Аист'), ('Виды печати', 'Array')]",руб.,1,"Габардин Премиум, ""Негорючая"", Термотрансфер, 153 г/кв.м, 300 см",500                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/gabardin-premium-negoryuchaya-termotransfer-153-g-kv-m-300-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '300 см'), ('Плотность', '48 г/м2'), ('Цвет', 'Белый Аист'), ('Виды печати', 'Array')]",руб.,2,"Вуаль Эксклюзив, ""Негорючая"", Термотрансфер, 48 г/кв.м, 300 см",345.27                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/vual-eksklyuziv-negoryuchaya-termotransfer-48-g-kv-m-300-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '300 см'), ('Плотность', '50 г/м2'), ('Цвет', 'Белый Аист'), ('Виды печати', 'Array')]",руб.,3,"Вуаль Премиум, Негорючая нить, Термотрансфер, 50 г/кв.м, 300 см",578.46                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/vual-premium-negoryuchaya-nit-termotransfer-50-g-kv-m-300-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '160 см'), ('Плотность', '153 г/м2'), ('Цвет', 'Белый Аист'), ('Виды печати', 'Array')]",руб.,4,"Габардин Фабрикс Эксклюзив, ""Негорючая"", Термотрансфер, 153 г/кв.м, 160 см",350                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/gabardin-fabriks-eksklyuziv-negoryuchaya-termotransfer-153-g-kv-m-160-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '140 см'), ('Плотность', '350 г/м2'), ('Цвет', 'Зеленый'), ('Виды печати', 'Array')]",руб.,5,"Бархат Премиум, ""Негорючая"", Термотрансфер, 350 г/кв.м, 140 см",2000                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/barkhat-premium-negoryuchaya-termotransfer-350-g-kv-m-140-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '300 см'), ('Плотность', '245 г/м2'), ('Цвет', 'Черный'), ('Виды печати', 'Array')]",руб.,6,"Блэкаут Эксклюзив, ""Негорючая"", Термотрансфер, 245 г/кв.м, 300 см",1525.6                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/blekaut-eksklyuziv-negoryuchaya-termotransfer-245-g-kv-m-300-sm/
Негорючие ткани дляинтерьера,"[('Ширина', '160 см'), ('Плотность', '274 г/м2'), ('Цвет', 'Бежевый'), ('Виды печати', 'Array')]",руб.,7,"Блэкаут Эксклюзив, ""Негорючая"", Термотрансфер, 274 г/кв.м, 160 см",550                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/blekaut-eksklyuziv-negoryuchaya-termotransfer-274-g-kv-m-160-sm/
Сублимационныечернила,"[('Цвет', 'Black Extra')]",руб.,8,Сублимационные Чернила Uras (пак) Премиум,2012.02                                                                                                                                                       ,"За шт.,За шт.",https://www.fabreex.ru/product/sublimatsionnye-chernila-uras-pak-premium/
Ткани для печати,"[('Ширина', '152 см'), ('Плотность', '65 г/м2'), ('Цвет', 'Белый Аист'), ('Виды печати', 'Array')]",руб.,9,"Шифон Фабрикс Премиум Термотрансфер, 65 г/кв.м, 152 см",145.47                                                                                                                                                       ,"За пог.м,За кг",https://www.fabreex.ru/product/shifon-fabriks-premium-termotransfer-65-g-kv-m-152-sm/
Бумага,"[('Ширина', '45 см'), ('Плотность', '165 г/м2'), ('Цвет', 'Коричневый')]",руб.,10,"Защитная Бумага  Стандарт, 45 г/кв.м, 165 см, 800 м",287                                                                                                                                                       ,"За шт.,За шт.",https://www.fabreex.ru/product/zashchitnaya-bumaga-standart-45-g-kv-m-165-sm-800-m/
Бумага,"[('Ширина', '45 см'), ('Плотность', '320 г/м2'), ('Цвет', 'Коричневый')]",руб.,11,"Защитная Бумага  Премиум, 45 г/кв.м, 320 см, 830 м",69000                                                                                                                                                       ,"За шт.,За шт.",https://www.fabreex.ru/product/zashchitnaya-bumaga-premium-45-g-kv-m-320-sm-830-m/
